go_id,external_gene_name,namespace_1003
GO:0005654,TOP3A,cellular_component
GO:0003697,TOP3A,molecular_function
GO:0051304,TOP3A,biological_process
GO:1901796,TOP3A,biological_process
GO:0006260,TOP3A,biological_process
GO:0051321,TOP3A,biological_process
GO:0032042,TOP3A,biological_process
,TOP3A,
GO:0005634,ACTR5,cellular_component
GO:0005737,ACTR5,cellular_component
GO:0006281,ACTR5,biological_process
GO:0006974,ACTR5,biological_process
GO:0005515,ACTR5,molecular_function
GO:0006310,ACTR5,biological_process
GO:0006302,ACTR5,biological_process
GO:0031011,ACTR5,cellular_component
GO:0043044,ACTR5,biological_process
GO:0005654,ACTR5,cellular_component
GO:0006355,ACTR5,biological_process
GO:0016579,ACTR5,biological_process
GO:0070914,ACTR5,biological_process
GO:0006351,GTF2H1,biological_process
GO:0006289,GTF2H1,biological_process
GO:0000439,GTF2H1,cellular_component
GO:0005634,GTF2H1,cellular_component
GO:0005654,GTF2H1,cellular_component
GO:0006281,GTF2H1,biological_process
GO:0006974,GTF2H1,biological_process
GO:0005515,GTF2H1,molecular_function
GO:0005675,GTF2H1,cellular_component
GO:0045893,GTF2H1,biological_process
GO:0006366,GTF2H1,biological_process
GO:0009755,GTF2H1,biological_process
GO:0006368,GTF2H1,biological_process
GO:0006370,GTF2H1,biological_process
GO:0006367,GTF2H1,biological_process
GO:0006361,GTF2H1,biological_process
GO:0006363,GTF2H1,biological_process
GO:0006283,GTF2H1,biological_process
GO:0000079,GTF2H1,biological_process
GO:0046966,GTF2H1,molecular_function
GO:0006293,GTF2H1,biological_process
GO:0006295,GTF2H1,biological_process
GO:0006296,GTF2H1,biological_process
GO:0033683,GTF2H1,biological_process
GO:0070911,GTF2H1,biological_process
GO:0000717,GTF2H1,biological_process
GO:0006294,GTF2H1,biological_process
GO:0006360,GTF2H1,biological_process
GO:0070816,GTF2H1,biological_process
,GTF2H1,
GO:0006511,CUL4A,biological_process
GO:0031625,CUL4A,molecular_function
GO:0031461,CUL4A,cellular_component
GO:0016567,CUL4A,biological_process
GO:0006281,CUL4A,biological_process
GO:0006974,CUL4A,biological_process
GO:0005515,CUL4A,molecular_function
GO:0016032,CUL4A,biological_process
GO:0048511,CUL4A,biological_process
GO:0043161,CUL4A,biological_process
GO:0042254,CUL4A,biological_process
GO:0004842,CUL4A,molecular_function
GO:0005654,CUL4A,cellular_component
GO:0043687,CUL4A,biological_process
GO:0080008,CUL4A,cellular_component
GO:0031146,CUL4A,biological_process
GO:0019005,CUL4A,cellular_component
GO:0000082,CUL4A,biological_process
GO:0006283,CUL4A,biological_process
GO:0042769,CUL4A,biological_process
GO:0006293,CUL4A,biological_process
GO:0006295,CUL4A,biological_process
GO:0006296,CUL4A,biological_process
GO:0033683,CUL4A,biological_process
GO:0070911,CUL4A,biological_process
GO:0000715,CUL4A,biological_process
GO:0000717,CUL4A,biological_process
GO:0006294,CUL4A,biological_process
GO:0097193,CUL4A,biological_process
GO:0031464,CUL4A,cellular_component
GO:0001701,CUL4A,biological_process
GO:0008284,CUL4A,biological_process
GO:0030097,CUL4A,biological_process
GO:0030853,CUL4A,biological_process
GO:0035019,CUL4A,biological_process
GO:0051246,CUL4A,biological_process
GO:1900087,CUL4A,biological_process
GO:2000001,CUL4A,biological_process
GO:2000819,CUL4A,biological_process
,CUL4A,
GO:0005524,PMS2,molecular_function
GO:0030983,PMS2,molecular_function
GO:0006298,PMS2,biological_process
GO:0016887,PMS2,molecular_function
GO:0032300,PMS2,cellular_component
GO:0005634,PMS2,cellular_component
GO:0005654,PMS2,cellular_component
GO:0005829,PMS2,cellular_component
GO:0005886,PMS2,cellular_component
GO:0016787,PMS2,molecular_function
GO:0006281,PMS2,biological_process
GO:0006974,PMS2,biological_process
GO:0090305,PMS2,biological_process
GO:0004518,PMS2,molecular_function
GO:0005515,PMS2,molecular_function
GO:0036464,PMS2,cellular_component
GO:0004519,PMS2,molecular_function
GO:0003697,PMS2,molecular_function
GO:0032407,PMS2,molecular_function
GO:0016446,PMS2,biological_process
GO:0032389,PMS2,cellular_component
GO:0003677,PMS2,molecular_function
GO:0032138,PMS2,molecular_function
GO:0042493,PMS2,biological_process
,PMS2,
